Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
4228,3435,3435,58252,41384,0.7,2389,58574,45782,0.19,641,549,-214,3435,61155,43702,3435,2813,623,0.13,448,80926,32434,0.12,424,60794,13938,0.75,2581,17732,9898,3749,142045,56465
4230,208,208,57498,45534,0.73,151,63845,53662,0.16,34,4066,-103,208,60399,47896,208,2756,973,0.11,23,45078,36747,0.11,23,21946,13944,0.8,166,15677,10631,226,152760,55873
4270,2532,2532,56762,47212,0.78,1967,60176,53178,0.14,354,-967,-2017,2532,59434,49708,2532,2622,762,0.1,263,81356,35270,0.1,243,63206,17774,0.78,1974,15987,11420,2909,107302,54789
4271,712,712,52490,42242,0.67,475,58061,48253,0.17,118,-517,-502,712,55089,43591,712,2522,562,0.14,102,72849,31708,0.13,95,52891,12755,0.72,510,15212,8978,930,185562,56411
4272,3749,3749,50444,37677,0.64,2397,55663,46132,0.16,582,1681,-13,3749,52857,39556,3749,2313,450,0.14,515,60951,28115,0.13,494,41832,14158,0.68,2543,15559,9617,4084,172323,65608
4275,2189,2189,50568,42407,0.74,1625,54950,48394,0.15,335,-109,-917,2189,53464,44306,2189,2402,640,0.12,253,65835,34034,0.12,255,48636,16383,0.75,1634,13716,9926,2495,131802,52850
4280,10389,10389,54489,48000,0.83,8641,57943,52814,0.11,1183,-3423,-2766,10389,57040,50178,10389,2501,817,0.08,840,67748,31070,0.08,827,48728,16608,0.8,8282,14311,10885,11834,92133,50954
4285,11198,11198,50374,43079,0.79,8850,54009,49410,0.12,1303,-1805,-1522,11198,52876,45416,11198,2326,684,0.09,976,73880,32547,0.08,950,57757,17515,0.75,8380,13661,9826,12802,104226,50664
4287,382,382,41191,35295,0.65,248,47461,39632,0.11,42,1019,2360,382,44347,37483,382,2270,393,0.15,56,84599,28666,0.14,54,74454,26629,0.63,241,11727,7567,423,118630,49982
4300,34907,34907,55742,49738,0.88,30682,58869,54166,0.1,3565,-4424,-3295,34907,58032,51919,34907,2260,806,0.07,2417,66304,27198,0.07,2302,48375,12962,0.81,28106,14656,11296,39161,87436,42861
4301,16499,16499,47166,44584,0.89,14609,49826,48252,0.05,888,-4012,-2438,16499,49332,46627,16499,2142,710,0.06,979,45162,22107,0.06,920,31171,12666,0.78,12903,11132,8994,19175,62448,27302
4303,1739,1739,43694,41001,0.86,1489,46140,45129,0.06,105,-2194,-2061,1739,45478,42913,1739,1782,557,0.06,106,69948,28809,0.06,103,62702,13112,0.75,1304,10034,8085,2338,60217,24250
4304,8775,8775,48870,44837,0.84,7385,52068,49162,0.08,685,-2209,-1768,8775,50757,46460,8775,1857,624,0.06,528,60675,25932,0.06,506,41854,14034,0.76,6692,12358,9595,10778,94272,41069
4305,33351,33351,51291,46094,0.85,28328,54484,50685,0.1,3195,-2756,-2012,33351,53358,48021,33351,2034,718,0.06,1909,61393,24812,0.06,1838,43432,13148,0.77,25772,13172,10295,39478,110084,49942
4306,22287,22287,58072,50707,0.83,18602,61857,56206,0.14,3159,-2841,-1985,22287,60613,53076,22287,2459,842,0.08,1753,71843,28121,0.08,1692,54862,16102,0.79,17659,16106,12293,25088,139870,69548
4307,921,921,48885,42037,0.77,711,53987,48787,0.12,110,-1751,-330,921,51655,43996,921,2126,638,0.11,104,76272,27275,0.12,107,71853,29221,0.73,670,13598,9586,1073,136139,57499
4309,1748,1748,45772,38576,0.74,1291,50708,46625,0.14,236,-326,-26,1748,48152,40180,1748,2043,450,0.12,205,59916,29184,0.12,204,56484,21646,0.7,1222,13128,9067,1959,131625,60419
4310,3295,3295,44304,37036,0.72,2357,49659,43231,0.13,413,1078,191,3295,46367,38602,3295,1822,359,0.12,402,88652,27308,0.12,390,76328,20691,0.69,2271,12525,8283,3823,137034,62104
4311,4979,4979,45983,41092,0.78,3888,51800,48732,0.1,515,-1347,-745,4979,48295,42984,4979,2083,581,0.07,371,67088,25295,0.07,362,58091,17732,0.73,3633,11819,9407,5877,86157,41338
4312,1232,1232,45932,36995,0.72,889,50903,46275,0.14,174,1074,-140,1232,48210,39525,1232,2108,434,0.1,125,69347,35920,0.1,122,74546,25161,0.65,805,14036,9297,1483,136670,57511
4313,1045,1045,40714,36537,0.68,713,48783,43360,0.14,148,524,-596,1045,43424,38744,1045,1883,418,0.15,154,61034,24042,0.14,147,57741,18253,0.64,671,11558,8171,1245,129292,52348
4340,2979,2979,47744,41444,0.78,2321,52589,47947,0.12,359,-1748,-673,2979,50032,43469,2979,2066,585,0.11,325,76391,25747,0.11,329,66007,20183,0.72,2143,12903,9475,3344,122178,58134
4341,7688,7688,48848,43327,0.81,6191,53526,49546,0.11,860,-1963,-1546,7688,51149,45108,7688,2163,599,0.08,633,64409,30000,0.08,618,50917,18786,0.74,5716,12975,9762,8922,94435,47634
4342,1366,1366,45960,40497,0.78,1069,47786,44713,0.11,154,434,-60,1366,48202,42218,1366,1961,480,0.09,117,80866,33125,0.08,112,68222,18268,0.72,979,12183,8798,1550,92952,39035
4343,7099,7099,41167,34452,0.82,5845,42897,37284,0.1,702,-266,-184,7099,42990,35692,7099,1689,344,0.07,462,82065,30367,0.06,436,72246,22436,0.74,5256,10299,6453,8743,78719,16001
4344,1497,1497,47964,41218,0.78,1169,53404,48691,0.14,212,-1367,-595,1497,50258,43059,1497,2140,491,0.09,142,64108,27216,0.1,143,55335,21157,0.73,1086,12883,9694,1670,102170,51731
4346,575,575,52467,47215,0.79,455,58153,54038,0.16,94,-2544,-367,575,54646,48826,575,2125,820,0.09,50,67832,21178,0.09,51,46503,11273,0.75,433,14367,11133,641,132961,72980
4347,729,729,44867,39531,0.75,549,49080,46000,0.13,95,1523,2012,729,47289,41671,729,2036,463,0.1,74,62547,26938,0.1,72,49845,17639,0.73,529,11569,8672,835,96603,44348
4350,61727,61727,54828,45056,0.81,49843,55311,49571,0.13,8036,-1660,-1570,61727,57369,47216,61727,2413,695,0.07,4349,77632,23150,0.07,4236,53088,11687,0.76,46808,15774,10223,69536,143964,51621
4352,17641,17641,58399,46989,0.78,13846,59720,53080,0.16,2750,-2427,-1751,17641,61195,49329,17641,2554,800,0.09,1526,69294,25127,0.09,1510,54206,17012,0.75,13313,17906,11711,19070,156614,75928
4353,264,264,36834,31792,0.62,163,55124,48889,0.11,30,1255,418,264,39230,34015,264,1684,336,0.2,52,42202,22435,0.19,51,44986,18902,0.61,161,11480,7630,254,127804,64667
4354,651,651,45031,40279,0.76,495,54431,48942,0.12,76,-3034,-2039,651,48128,42266,651,2937,589,0.1,66,57594,21068,0.1,64,56144,22796,0.69,451,12703,9558,723,132519,58497
4355,1291,1291,39293,32739,0.67,866,48653,42402,0.15,197,79,298,1291,41869,34445,1291,1887,352,0.14,179,45004,18323,0.14,180,42860,15003,0.62,797,11218,7844,1505,119139,48658
4356,2925,2925,46301,38227,0.76,2210,51068,46424,0.14,404,-135,-529,2925,49746,41345,2925,2900,714,0.09,260,69411,32661,0.09,260,71231,37684,0.7,2057,13668,8700,3153,130368,51343
4357,1472,1472,45585,36168,0.73,1078,51534,44995,0.11,158,-1426,-934,1472,48542,38788,1472,2451,580,0.09,129,71134,34551,0.09,129,65333,31274,0.67,991,14147,8457,1704,109504,39222
4358,1488,1488,50038,45056,0.8,1192,56385,51502,0.11,163,-1878,-922,1488,53602,47668,1488,2646,774,0.09,130,54966,18052,0.08,123,52288,18518,0.75,1121,13828,9998,1576,116938,47484
4359,758,758,47216,43238,0.77,580,53837,53150,0.11,86,-723,-13,758,50463,45790,758,2501,540,0.11,84,48583,32816,0.11,83,47434,26771,0.72,544,13105,10434,821,109402,51242
4360,437,437,37583,28842,0.66,290,49770,46404,0.17,75,-855,0,437,40263,32463,437,2173,295,0.14,62,84802,23206,0.14,63,85236,35571,0.61,265,11387,8056,434,109767,50835
4361,1442,1442,38832,32268,0.66,951,48046,43285,0.13,184,695,7,1442,42392,34463,1442,2442,366,0.15,210,70767,24307,0.15,211,67551,26079,0.61,880,11943,8024,1521,115978,46862
4362,1356,1356,38557,33166,0.69,931,48180,42743,0.16,213,851,-37,1356,41329,35676,1356,1965,420,0.14,186,78776,28585,0.14,186,77676,30224,0.65,877,10902,7585,1437,128735,51874
4363,462,462,45099,40102,0.77,354,50362,47582,0.14,63,-3465,-1227,462,48603,43171,462,3052,770,0.13,58,66957,21716,0.13,59,58900,25968,0.73,335,12021,8695,463,132728,60645
4364,204,204,73462,46026,0.64,131,45951,43704,0.16,32,709,795,204,79068,54058,204,5507,833,0.08,16,71971,49980,0.08,16,53693,33106,0.75,153,27108,13303,206,153172,58174
4365,231,231,38488,33544,0.76,175,42192,41098,0.09,20,-106,-874,231,40351,35100,231,1660,476,0.12,28,39878,13370,0.12,28,31270,12958,0.67,155,8840,7145,280,77790,33844
4370,10012,10012,43767,38528,0.77,7704,48606,44806,0.12,1239,301,-158,10012,46183,40582,10012,2153,576,0.09,886,60111,25649,0.09,886,50465,19005,0.71,7090,11354,7992,11448,113850,46278
4371,453,453,35628,30525,0.65,296,47663,45874,0.15,68,-60,-293,453,38449,32643,453,2170,426,0.13,60,85060,23768,0.13,61,79433,25396,0.6,271,10144,7688,468,134604,67876
4372,93,93,39388,36995,0.66,61,47044,40507,0.1,9,3045,4400,93,43389,38781,93,2315,500,0.14,13,85712,26901,0.13,12,72992,23954,0.7,65,9410,6845,94,101488,62148
4373,568,568,38156,32586,0.71,402,44389,41588,0.13,74,228,36,568,40865,34026,568,1940,466,0.14,77,123792,35052,0.13,72,122573,30712,0.64,361,9656,6700,626,95055,45496
4374,245,245,70169,30436,0.7,172,46240,44090,0.13,31,-5601,-2934,245,73296,32107,245,2243,515,0.15,36,47081,24380,0.17,41,45537,29994,0.58,143,38638,8485,282,114643,46523
4375,152,152,39688,32193,0.74,112,38470,33428,0.17,26,481,-179,152,41913,34076,152,1516,310,0.13,20,170674,27106,0.12,18,184129,43170,0.7,107,11746,6279,221,83032,6701
4376,167,167,36334,23944,0.76,127,36703,28159,0.11,19,-1088,-27,167,37785,24286,167,1144,300,0.06,10,42956,28780,0.06,10,35966,10823,0.62,103,10429,5403,268,63564,4193
4377,357,357,35625,31700,0.67,240,42556,37695,0.14,49,327,98,357,37888,33047,357,2004,300,0.11,41,46841,20160,0.12,43,33459,15367,0.63,224,9221,6151,397,95176,42636
4378,208,208,38137,31208,0.78,163,41790,37287,0.11,23,2681,581,208,40662,33184,208,2078,403,0.05,11,41492,26860,0.05,11,19333,12536,0.7,145,9491,6395,282,92730,25183
4380,4535,4535,39768,32736,0.74,3366,41185,36194,0.14,618,2596,1014,4535,42032,34470,4535,1978,376,0.1,445,71066,27145,0.1,440,59402,18016,0.69,3116,10295,6247,5820,108711,30090
4381,297,297,38880,34225,0.7,207,42267,38065,0.16,48,1113,467,297,41349,36669,297,2373,350,0.09,27,56273,28062,0.1,29,50862,17244,0.69,206,9263,5785,366,106942,36098
4382,328,328,37330,30292,0.65,212,38316,33616,0.13,44,-1301,224,328,39729,30954,328,2239,322,0.1,34,48216,32192,0.11,35,40244,22007,0.61,200,9922,7385,367,165950,46851
4383,276,276,35734,33408,0.74,205,40133,38272,0.09,26,-604,-680,276,37885,35384,276,1990,414,0.09,25,40508,26904,0.09,25,36093,16073,0.68,189,7172,5156,375,69462,29107
4385,610,610,38382,35098,0.71,433,49105,45755,0.1,64,2655,-270,610,42549,38176,610,2517,500,0.12,72,122888,45246,0.13,79,105497,34012,0.63,385,11628,7740,664,91929,42032
4387,680,680,41370,36117,0.77,525,46826,41729,0.13,87,1031,146,680,44492,38099,680,2440,643,0.12,84,77471,29370,0.13,87,73392,24596,0.68,463,11089,7226,774,92110,39909
4388,224,224,49731,30504,0.64,143,42437,37571,0.11,25,-848,-1472,224,53997,32886,224,3280,349,0.1,22,74467,31732,0.09,21,64269,18690,0.6,135,21898,5878,245,75545,27483
4390,4457,4457,50150,43860,0.78,3468,51866,47490,0.13,595,1116,-71,4457,53834,46933,4457,3023,826,0.1,429,90309,30000,0.09,400,81076,21478,0.76,3398,13813,9770,4942,140292,46507
4400,1149,1149,50919,46954,0.84,965,54971,50781,0.11,129,-794,-887,1149,53210,48662,1149,2283,859,0.06,68,37375,21560,0.06,70,30230,15364,0.79,907,12818,10073,1264,92292,50701
4401,3084,3084,46402,43612,0.79,2447,53245,50596,0.11,342,-702,-737,3084,48742,46016,3084,2131,600,0.07,214,75118,29410,0.07,212,74396,27890,0.74,2267,12087,9693,3555,94274,45576
4402,136,136,32812,25659,0.51,69,52583,40065,0.12,16,-33,3164,136,35891,27374,136,1975,188,0.19,26,49660,32409,0.19,26,35878,24824,0.55,75,10861,5427,147,93762,39297
4403,427,427,50841,41914,0.65,276,50525,46493,0.13,54,1177,474,427,54178,45454,427,2872,450,0.13,54,51717,17494,0.13,55,65846,14721,0.73,312,16119,9190,464,108526,44637
4404,305,305,42267,37064,0.65,198,47781,46668,0.13,41,-706,576,305,45418,38170,305,2428,463,0.11,35,100452,35302,0.11,35,91747,30261,0.7,212,11534,8562,308,118969,52392
4405,8228,8228,51497,44030,0.8,6604,54718,49246,0.14,1150,-1653,-978,8228,54479,46730,8228,2484,748,0.07,592,95986,36428,0.07,601,81272,22488,0.75,6164,14388,10087,9192,122366,50415
4406,623,623,39325,31529,0.64,399,47070,41842,0.13,84,1429,676,623,43155,35864,623,2281,310,0.16,99,85290,39875,0.16,98,82279,39890,0.62,384,12200,8786,650,113958,43951
4407,326,326,50620,40814,0.66,215,49474,48011,0.14,45,2081,940,326,53672,44010,326,2643,400,0.1,34,27659,17018,0.1,32,30253,18228,0.67,218,15618,10969,336,113798,49468
4408,426,426,35934,31202,0.65,275,52211,47681,0.12,50,-686,922,426,41629,34187,426,2295,300,0.17,73,99948,41569,0.17,71,100720,40761,0.61,261,11217,7464,423,121300,55477
4410,686,686,38289,31152,0.6,415,45374,40644,0.1,67,-160,191,686,42018,34472,686,2511,408,0.14,93,107735,40047,0.14,97,94981,26353,0.59,405,11184,8327,729,129214,52280
4411,178,178,44245,33942,0.6,107,47570,41836,0.09,16,866,-462,178,48821,39054,178,3455,387,0.16,29,63789,19189,0.15,27,62714,20270,0.65,116,13378,10153,184,206231,56839
4412,144,144,41272,35532,0.67,96,48682,43227,0.13,19,266,892,144,44259,37100,144,1687,333,0.11,16,64968,19151,0.11,16,57594,23420,0.65,94,12219,8627,140,101174,41855
4413,4310,4310,53300,42168,0.77,3306,60825,50000,0.15,668,-3575,-2348,4310,55948,44868,4310,2268,614,0.09,404,76037,27408,0.1,411,66324,23807,0.71,3046,16847,11500,4739,114244,49258
4415,1072,1072,46148,38964,0.75,809,52555,46393,0.14,147,-3167,-1888,1072,49065,41985,1072,2247,528,0.11,115,63640,23029,0.11,114,61688,18871,0.69,738,13959,9244,1203,111085,46367
4416,292,292,46405,43416,0.66,192,51223,47555,0.15,45,-617,0,292,52148,49377,292,3535,498,0.14,41,128456,74464,0.15,43,102435,60869,0.74,217,12263,9610,316,146023,48626
4417,349,349,52169,43658,0.74,257,48904,44876,0.17,58,-2950,-752,349,56353,46501,349,3559,774,0.15,51,80115,32362,0.14,50,62743,29417,0.77,269,15177,10198,389,102480,50548
4419,504,504,38583,34989,0.57,287,51651,48521,0.15,75,-1771,-660,504,42091,38537,504,3036,299,0.21,105,94072,52116,0.21,107,80916,30084,0.64,323,13053,9280,519,118156,52142
4420,752,752,48851,39393,0.57,427,48052,43990,0.13,99,408,-1110,752,52327,41326,752,2710,266,0.23,176,106456,28100,0.23,170,93940,18104,0.7,527,15321,9172,750,141273,55144
4421,967,967,39883,35201,0.67,649,47086,43538,0.11,103,-4256,-562,967,42296,37548,967,2068,334,0.11,105,70667,38720,0.11,102,66735,24366,0.67,644,11152,8376,1236,86221,31833
4422,282,282,45840,33716,0.6,169,43969,35527,0.08,22,321,156,282,50930,37232,282,3365,300,0.13,38,321932,37551,0.13,38,318924,36904,0.63,179,16387,9826,296,131424,52134
4424,111,111,35663,32060,0.55,61,50436,41341,0.16,18,343,726,111,41481,33312,111,3813,276,0.21,23,217455,21820,0.2,22,230510,33796,0.57,63,13066,8437,103,156122,61742
4425,147,147,31463,27261,0.56,82,45292,41641,0.16,24,-9492,-1560,147,35739,30341,147,3356,190,0.21,31,96615,60753,0.18,27,92596,55104,0.56,83,9600,7185,145,71419,43334
4427,188,188,35430,37106,0.6,112,52671,50016,0.09,17,-9214,-6876,188,40802,38806,188,2916,335,0.18,33,88765,34445,0.18,34,80883,20058,0.66,124,11834,8374,210,101722,46705
4428,387,387,37751,36059,0.6,233,52525,46244,0.14,54,442,83,387,41583,39278,387,2433,440,0.21,80,94387,40109,0.21,82,83756,30347,0.7,270,11576,7074,416,134609,66344
4454,487,487,43515,38829,0.56,275,45133,42509,0.11,56,1386,820,487,47620,40059,487,2146,290,0.23,110,108034,28952,0.21,100,105929,28334,0.68,333,12600,8099,484,128369,40013
4455,5108,5108,55472,47811,0.79,4044,59568,52942,0.15,765,-2707,-2322,5108,58680,50591,5108,2601,702,0.11,571,103392,36750,0.11,568,91561,25503,0.78,3992,15712,11369,5742,127706,52523
4462,55,55,45976,41264,0.47,26,51720,44366,0.15,8,-2670,-3481,55,50055,41999,55,3970,488,0.29,16,79554,29829,0.25,14,79677,37362,0.69,38,12730,7881,58,118645,35212
4465,756,756,39209,33513,0.66,499,48059,42306,0.13,97,-893,-1189,756,43565,36845,756,2150,312,0.18,134,98796,37614,0.17,126,84779,21922,0.63,477,13070,8432,849,110956,40779
4468,209,209,29988,26977,0.53,110,37888,30268,0.12,26,-987,-14,209,32643,29815,209,2237,144,0.2,41,68880,24000,0.17,36,64397,19013,0.58,121,8771,5618,216,68971,32377
4470,1927,1927,48358,45337,0.81,1569,51760,48279,0.15,282,-587,-490,1927,51234,47417,1927,2062,684,0.12,229,86215,24488,0.12,229,73183,13841,0.77,1489,12800,9481,2271,103229,44139
4472,788,788,43590,37558,0.7,551,47868,42064,0.15,122,-1300,-758,788,48501,40640,788,3767,396,0.19,153,78623,30734,0.19,150,69910,18572,0.73,572,11485,7931,901,139560,47128
4477,270,270,49465,41027,0.63,171,46523,44036,0.16,42,-2601,-1403,270,53378,43956,270,2687,444,0.17,45,101899,47037,0.17,45,85908,30723,0.71,192,14102,9801,283,92024,49585
4478,284,284,49645,37352,0.65,185,46738,43258,0.16,46,-550,-999,284,53989,40152,284,3192,288,0.15,43,170705,36290,0.15,44,159620,20593,0.69,196,16214,9274,319,110430,49749
4480,468,468,46649,42972,0.76,354,52958,47744,0.17,78,-3550,-1505,468,49568,45156,468,2506,492,0.17,79,101565,37960,0.17,78,91264,27279,0.76,357,12263,9190,540,97851,54454
4481,79,79,50976,41404,0.85,67,52401,52322,0.18,14,-371,-1665,79,54965,46304,79,2918,994,0.23,18,157111,15904,0.24,19,121972,14748,0.7,55,14590,10404,99,97152,43102
4486,389,389,35035,38060,0.69,268,46660,42438,0.07,28,1304,274,389,39001,42148,389,2677,400,0.16,64,95582,36872,0.16,64,90880,25826,0.7,272,12463,8846,430,96869,28219
4487,1857,1857,44959,40349,0.78,1450,49310,44534,0.14,258,-510,-288,1857,47861,42654,1857,2619,558,0.11,206,90981,37703,0.11,203,84332,22252,0.72,1345,13227,9530,2181,109139,38487
4488,129,129,44156,36350,0.71,91,35689,36500,0.1,13,1932,705,129,49275,40171,129,4283,522,0.21,27,118258,36917,0.2,26,90582,33048,0.66,85,13197,7472,146,90403,44144
4490,658,658,38854,37516,0.71,468,48240,44626,0.16,106,74,537,658,42186,39678,658,1789,415,0.13,84,140851,46410,0.13,84,123763,30094,0.71,465,11090,8107,816,91193,34203
4492,142,142,65565,59806,0.82,117,59878,62892,0.15,22,-3701,-630,142,69100,63027,142,3043,1110,0.14,20,213103,13866,0.13,18,180186,21013,0.87,124,16659,12619,163,137369,95083
4494,79,79,34854,35182,0.62,49,44314,46392,0.16,13,-1114,511,79,38825,38483,79,3708,670,0.2,16,119440,24648,0.19,15,139448,41447,0.66,52,10727,10189,87,91832,46217
4496,191,191,40039,43955,0.69,131,50861,49892,0.13,24,-1114,-1129,191,44338,49214,191,4060,896,0.11,21,76109,20800,0.1,20,78069,14976,0.74,141,14178,10307,202,123951,37472
4497,230,230,38451,30482,0.62,143,43189,36765,0.15,34,-3317,-646,230,48672,36436,230,4273,462,0.08,19,173543,52800,0.08,18,115316,41314,0.67,153,12540,7189,236,148034,48081
4498,125,125,36282,37951,0.74,93,45267,44112,0.16,20,-947,-1704,125,40614,42943,125,2732,380,0.06,7,70247,29523,0.06,7,85530,17790,0.66,83,13349,9161,134,66190,33593
4500,26207,26207,56101,48510,0.84,22096,58611,52726,0.11,2877,-3730,-2941,26207,58270,50510,26207,2146,686,0.07,1770,62026,25828,0.06,1701,42091,12188,0.79,20782,15112,11035,29821,119214,59236
4501,3325,3325,50032,46583,0.85,2840,53768,50874,0.08,273,-2475,-1936,3325,51984,48206,3325,1942,631,0.07,220,45987,25590,0.06,209,29886,12436,0.79,2625,12307,10019,4014,97047,48088
4502,5174,5174,54182,47971,0.85,4409,57625,52051,0.1,540,-3737,-2876,5174,56180,49810,5174,1989,654,0.07,367,58062,30663,0.07,352,35788,13548,0.79,4100,14192,10708,6026,119262,62582
4503,27523,27523,52840,46890,0.86,23686,55370,50894,0.08,2243,-2947,-2320,27523,55016,48866,27523,2136,714,0.07,1816,48639,24586,0.06,1741,31630,11792,0.79,21860,13575,10083,30943,97116,44597
4504,11454,11454,56355,49731,0.86,9881,59266,54131,0.11,1257,-4353,-3282,11454,58816,52000,11454,2413,788,0.07,766,68338,24394,0.06,734,52456,13643,0.8,9106,15279,11534,12691,103784,56978
4505,12600,12600,53340,45940,0.82,10329,55863,50266,0.13,1608,-2866,-2292,12600,55754,47950,12600,2362,702,0.08,952,75153,36722,0.07,941,53429,18178,0.77,9759,14301,10280,14213,107500,52676
4506,12346,12346,47603,42100,0.83,10279,50224,45947,0.09,1107,-2323,-2035,12346,49784,43906,12346,2154,610,0.07,813,73302,28410,0.06,772,55855,15438,0.76,9367,12059,8664,14652,85532,35338
4507,9174,9174,48208,35960,0.62,5699,54230,44994,0.15,1336,75,-374,9174,50343,37492,9174,2065,396,0.08,768,78747,29626,0.08,747,56051,12158,0.64,5890,15351,8633,10893,176295,71588
4508,9479,9479,46285,42295,0.84,7928,49770,46234,0.09,812,-2511,-2325,9479,48392,43877,9479,2073,668,0.06,567,52106,28249,0.06,565,34714,12163,0.75,7124,11269,8521,11626,75770,35528
4509,19811,19811,58887,49680,0.86,17098,61886,54410,0.11,2170,-5278,-3741,19811,61282,51777,19811,2367,816,0.07,1406,54895,23898,0.07,1353,33256,12523,0.79,15682,16472,11912,21150,90463,43662
4510,25785,25785,46132,39847,0.81,20888,48685,44676,0.09,2202,-1727,-1668,25785,48238,41651,25785,2034,549,0.06,1636,67664,27620,0.06,1572,50866,14344,0.74,19028,11921,8330,31004,80788,31560
4511,4687,4687,49082,40306,0.74,3486,53948,48081,0.11,518,-2106,-1894,4687,51387,42345,4687,2254,611,0.08,362,63217,28950,0.08,362,42986,13816,0.7,3292,13899,9595,5454,113661,55621
4512,2170,2170,51555,43066,0.78,1690,55008,47974,0.16,340,-804,-1086,2170,54045,45460,2170,2398,582,0.09,204,87152,32822,0.09,198,69690,21240,0.76,1641,14197,10099,2504,115364,51782
4514,3674,3674,49177,41784,0.76,2802,54520,48094,0.14,508,-234,-808,3674,51630,43742,3674,2145,572,0.11,392,86929,32626,0.11,398,67562,21675,0.73,2700,13427,9583,4186,109311,52811
4515,2414,2414,48107,42795,0.78,1872,53729,51001,0.11,260,-210,-62,2414,50471,44484,2414,2257,642,0.1,234,73311,30030,0.1,233,66034,27339,0.74,1792,12942,9408,2760,100159,36853
4516,2566,2566,51422,43086,0.8,2055,53145,48347,0.13,343,-2168,-2039,2566,53912,45338,2566,2435,682,0.08,202,81305,31143,0.08,195,61710,13840,0.76,1950,13974,10117,2917,108385,52574
4517,566,566,53684,46728,0.81,459,58034,51104,0.1,57,-1190,-1402,566,56089,49434,566,2404,776,0.09,53,72793,42595,0.09,50,55383,20740,0.79,448,13819,9977,617,95423,51851
4518,3066,3066,50084,42324,0.75,2313,54076,47545,0.15,466,-916,-1680,3066,52513,44665,3066,2339,610,0.08,256,105676,34676,0.08,249,87035,17693,0.74,2259,13626,9711,3450,118249,56431
4519,5067,5067,49579,40863,0.78,3946,52449,45663,0.12,611,-1480,-1601,5067,52016,42639,5067,2283,612,0.08,424,67886,28884,0.08,417,50671,15165,0.73,3680,13994,9321,5842,102083,45975
4520,8695,8695,74536,52219,0.73,6358,76303,58922,0.2,1706,-2499,-1947,8695,77638,54950,8695,2986,622,0.1,874,71267,27500,0.1,852,45796,13134,0.75,6520,26501,16112,9596,227535,109670
4521,2946,2946,59994,48595,0.76,2231,65134,56857,0.17,512,-2240,-2104,2946,62734,51420,2946,2579,680,0.1,289,63054,28395,0.1,294,45490,14554,0.76,2228,18244,12977,3295,190291,93505
4550,2646,2646,49577,40254,0.77,2037,52591,45811,0.13,331,-865,-402,2646,51583,42096,2646,1987,553,0.1,269,63167,28515,0.1,261,42627,16147,0.74,1954,13553,9071,3058,102888,44943
4551,35144,35144,52096,40956,0.73,25739,54678,47100,0.14,4982,-1945,-1701,35144,54576,42932,35144,2394,612,0.09,3147,74062,28800,0.09,3006,52872,12984,0.72,25369,15233,9502,39415,148550,59028
4552,5224,5224,44951,32737,0.57,2979,50947,40173,0.18,960,2167,1992,5224,47510,34775,5224,2220,340,0.15,796,53490,21936,0.15,769,39614,12247,0.62,3219,14285,7879,5893,204833,67302
4553,4181,4181,53472,42656,0.75,3151,55874,47105,0.16,653,-2094,-1762,4181,56008,45230,4181,2415,614,0.11,446,61177,27109,0.1,423,40173,13986,0.75,3151,14926,9948,4642,111613,50917
4554,1236,1236,51979,39848,0.71,878,52927,44649,0.17,204,-1470,-382,1236,54554,41599,1236,2526,562,0.13,155,74169,27541,0.12,144,57453,15104,0.72,894,15249,9703,1380,125350,50516
4555,4297,4297,53459,41765,0.73,3127,55330,47224,0.14,613,-208,-822,4297,56021,43910,4297,2454,601,0.11,465,76010,27303,0.1,450,53590,12654,0.73,3154,15576,10084,4829,135634,59924
4556,26968,26968,57070,41433,0.72,19481,57218,46225,0.15,4015,-2101,-1495,26968,59806,43521,26968,2657,600,0.1,2589,87101,26628,0.09,2483,53305,11706,0.73,19572,17997,9982,29214,160720,57727
4557,12579,12579,53993,42639,0.77,9663,54743,46535,0.15,1924,-1747,-1546,12579,56958,44752,12579,2851,664,0.1,1227,72272,25485,0.09,1177,51088,12444,0.76,9519,15202,9452,14025,135718,45534
4558,12779,12779,50610,39847,0.74,9436,50810,44121,0.14,1825,-288,-583,12779,53183,41700,12779,2459,565,0.1,1311,93899,28295,0.1,1255,70847,12096,0.73,9328,14511,8402,14593,134470,41680
4559,3960,3960,52692,41429,0.75,2955,53622,45107,0.16,647,-841,-517,3960,55343,43925,3960,2554,628,0.1,396,68185,28575,0.09,373,46102,12220,0.73,2897,15227,9482,4418,122026,53867
4560,19475,19475,47954,40278,0.74,14413,50840,45433,0.12,2407,-595,-674,19475,50168,42087,19475,2116,574,0.1,1880,71238,27686,0.09,1801,50723,14061,0.72,14065,12998,8777,22012,126007,51076
