Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2204,16278,16278,66997,54592,0.86,14028,67742,58628,0.16,2631,1194,-132,16278,69314,56616,16278,2287,792,0.12,1999,58926,23551,0.12,1879,36871,9898,0.83,13448,19629,13496,20494,101422,38445
2205,14454,14454,56924,43947,0.85,12226,57748,50374,0.15,2148,-2936,-2352,14454,58867,45676,14454,1915,581,0.12,1730,49364,25698,0.1,1513,35148,10784,0.75,10873,17520,10610,15869,64415,18881
2206,11444,11444,66565,50718,0.77,8831,67225,56359,0.26,2975,3205,1188,11444,69226,53072,11444,2559,762,0.11,1259,150792,31234,0.1,1189,129015,15472,0.79,8996,20807,13152,12736,137171,60686
2207,16237,16237,58342,46096,0.79,12877,61270,53153,0.21,3470,534,-100,16237,60624,48209,16237,2246,748,0.11,1750,94166,30720,0.1,1638,69809,15626,0.76,12379,17450,11304,18308,112544,45611
2208,7544,7544,59263,45664,0.77,5800,61594,52468,0.23,1766,2329,915,7544,61447,47364,7544,2151,630,0.1,763,131273,35000,0.1,730,110999,16536,0.76,5702,18064,11657,8389,114097,46602
2209,9465,9465,53263,42231,0.78,7368,57602,50214,0.22,2085,-684,-870,9465,55173,43660,9465,1860,555,0.1,922,177100,28771,0.09,856,157011,12796,0.73,6893,16043,10317,10635,98564,34920
2210,18189,18189,57466,44132,0.78,14230,60608,51055,0.2,3567,-639,-1467,18189,59696,46083,18189,2186,622,0.1,1754,89582,30650,0.09,1643,69231,12849,0.74,13550,17649,11158,20339,128990,44713
2211,10206,10206,55880,46902,0.8,8213,60401,53641,0.2,2039,-647,-808,10206,58073,48708,10206,2150,734,0.09,936,94617,29610,0.09,874,74798,14684,0.75,7701,16307,11575,11391,118307,50284
2212,9287,9287,56160,47342,0.83,7701,59966,53515,0.18,1707,-2208,-2353,9287,58306,49537,9287,2114,750,0.09,812,477800,34112,0.08,760,487865,15715,0.77,7179,15873,11452,10316,103785,44243
2213,13056,13056,60985,50015,0.83,10813,63925,55758,0.19,2513,-1388,-1732,13056,63363,52010,13056,2341,860,0.08,1048,88983,31754,0.08,1004,68892,15204,0.78,10221,17996,12603,14796,133522,59592
2214,2402,2402,81283,48529,0.82,1968,61935,55512,0.16,382,-1456,-1538,2402,83814,50580,2402,2498,888,0.08,191,77773,28200,0.08,181,57332,14679,0.78,1864,30705,12311,2806,144634,75219
2216,18289,18289,52989,42963,0.83,15096,55411,48136,0.16,2935,881,-347,18289,55086,44780,18289,2057,623,0.11,2101,67545,25998,0.1,1887,50578,12260,0.76,13841,14924,9717,21302,78733,23193
2217,17763,17763,57931,46439,0.82,14494,59686,51393,0.18,3273,1101,-572,17763,60192,48289,17763,2200,725,0.09,1683,72822,28770,0.09,1558,51043,12876,0.77,13695,16993,10965,19586,103558,32792
2218,10693,10693,51051,41841,0.82,8800,54951,47928,0.18,1945,-1169,-1117,10693,52940,43625,10693,1855,595,0.1,1085,103658,26130,0.09,993,90220,12296,0.74,7945,14340,9728,11938,86941,28667
2219,8107,8107,70087,51197,0.75,6071,68126,57135,0.24,1946,1785,111,8107,73248,53538,8107,3043,889,0.1,840,109529,32729,0.1,794,82565,15430,0.78,6339,22783,13488,8966,184036,65719
2220,21209,21209,45993,35477,0.79,16702,49240,41411,0.21,4435,-1480,-1760,21209,47635,36868,21209,1593,370,0.09,2013,182401,26619,0.08,1784,181137,11690,0.69,14557,13635,8198,23271,74612,15329
2221,10581,10581,74457,48576,0.73,7731,68269,53600,0.29,3016,2018,469,10581,77732,50931,10581,3150,620,0.1,1049,213143,40809,0.09,974,173139,18684,0.76,8043,26635,13378,11298,198852,56988
2222,8307,8307,54185,43068,0.82,6790,57805,48740,0.18,1515,-1035,-1317,8307,56170,44756,8307,1927,597,0.09,718,65843,27460,0.08,666,47187,11738,0.75,6216,15873,10214,9196,110724,34510
2223,13839,13839,70737,51469,0.79,10905,71007,57945,0.23,3143,297,-428,13839,73340,53574,13839,2577,744,0.08,1132,86120,28587,0.08,1069,52950,10425,0.77,10715,23611,13866,15286,187136,65589
2224,8883,8883,74577,48168,0.71,6297,68418,54972,0.24,2139,3109,590,8883,77706,50875,8883,3018,700,0.09,770,111898,36775,0.08,729,86074,16780,0.76,6708,26842,13302,9632,237801,72673
2225,3471,3471,79718,58121,0.79,2747,80683,63746,0.2,687,-378,-336,3471,82746,60312,3471,3011,982,0.1,330,86263,25752,0.09,309,57308,11234,0.79,2736,27461,17208,3858,207320,98989
2226,7796,7796,73040,56748,0.81,6320,75781,62717,0.2,1526,-1330,-1088,7796,75739,59008,7796,2678,956,0.08,632,80931,25881,0.08,603,55114,11018,0.8,6220,23528,15640,8709,183617,90742
2227,9205,9205,71916,54573,0.8,7406,74954,61166,0.18,1676,-1149,-1146,9205,74853,57248,9205,2871,965,0.08,750,92392,31750,0.08,721,64593,14173,0.79,7265,23344,15042,10393,180600,85423
